coop	station_name	country_name	datetime	utc_offset	lat	lon	precip_amt
010008	ABBEVILLE	UNITED STATES	2012-04-01 06:00:00	-0600	31.5702	-85.2482	0.0
010063	ADDISON	UNITED STATES	2012-04-01 06:00:00	-0600	34.2553	-87.1814	0.0
010116	ALABASTER SHELBY COUNTY AP	UNITED STATES	2012-04-01 06:00:00	-0600	33.17833	-86.78167	0.0
010140	ALBERTA	UNITED STATES	2012-04-01 06:00:00	-0600	32.2322	-87.4104	0.0
010252	ANDALUSIA 3 W	UNITED STATES	2012-04-01 06:00:00	-0600	31.3071	-86.5226	0.0
010272	ANNISTON METROPOLITAN AP	UNITED STATES	2012-04-01 06:00:00	-0600	33.5872	-85.8556	0.0
010369	ASHLAND 3 ENE	UNITED STATES	2012-04-01 06:00:00	-0600	33.2941	-85.7788	0.0
010390	ATHENS	UNITED STATES	2012-04-01 06:00:00	-0600	34.7752	-86.9508	0.0
010402	ATMORE	UNITED STATES	2012-04-01 06:00:00	-0600	31.182	-87.439	0.0
010425	AUBURN NO.2	UNITED STATES	2012-04-01 06:00:00	-0600	32.5992	-85.4653	0.0
010748	BERRY 3 NW	UNITED STATES	2012-04-01 06:00:00	-0600	33.69709	-87.64875	0.0
010831	BIRMINGHAM AP	UNITED STATES	2012-04-01 06:00:00	-0600	33.56556	-86.745	0.0
010957	BOAZ	UNITED STATES	2012-04-01 06:00:00	-0600	34.2008	-86.1633	0.0
011099	BRIDGEPORT 5 NW	UNITED STATES	2012-04-01 06:00:00	-0600	34.9786	-85.8008	0.0
012124	DADEVILLE 2	UNITED STATES	2012-04-01 06:00:00	-0600	32.8622	-85.7358	0.0
012172	DAUPHIN ISLAND #2	UNITED STATES	2012-04-01 06:00:00	-0600	30.2505	-88.0775	0.0
012377	DOTHAN 4 NW	UNITED STATES	2012-04-01 06:00:00	-0600	31.28333	-85.4	0.0
012675	ENTERPRISE 4 W	UNITED STATES	2012-04-01 06:00:00	-0600	31.2975	-85.8996	0.0
013043	FORT PAYNE	UNITED STATES	2012-04-01 06:00:00	-0600	34.4406	-85.7236	0.0
013519	GREENVILLE	UNITED STATES	2012-04-01 06:00:00	-0600	31.7901	-86.6087	0.0
013620	HALEYVILLE	UNITED STATES	2012-04-01 06:00:00	-0600	34.2314	-87.6352	0.0
013645	HAMILTON 3 S	UNITED STATES	2012-04-01 06:00:00	-0600	34.0966	-87.9913	0.0
014064	HUNTSVILLE WBAS AP	UNITED STATES	2012-04-01 06:00:00	-0600	34.7	-86.58333	0.0
014193	JACKSON	UNITED STATES	2012-04-01 06:00:00	-0600	31.5253	-87.9277	0.0
014209	JACKSONVILLE	UNITED STATES	2012-04-01 06:00:00	-0600	33.8256	-85.7812	0.0
015397	MIDWAY	UNITED STATES	2012-04-01 06:00:00	-0600	32.0596	-85.4951	0.0
015478	MOBILE REGIONAL AP	UNITED STATES	2012-04-01 06:00:00	-0600	30.68833	-88.24556	0.0
015550	MONTGOMERY AP	UNITED STATES	2012-04-01 06:00:00	-0600	32.2997	-86.4075	0.0
015553	MONTGOMERY 6SW	UNITED STATES	2012-04-01 06:00:00	-0600	32.26	-86.218	0.0
015749	MUSCLE SHOALS REGIONAL AP	UNITED STATES	2012-04-01 06:00:00	-0600	34.7441	-87.5997	0.0
018178	THOMASVILLE	UNITED STATES	2012-04-01 06:00:00	-0600	31.91722	-87.73472	0.0
018209	THORSBY EXP STATION	UNITED STATES	2012-04-01 06:00:00	-0600	32.9205	-86.6708	0.0
018323	TROY	UNITED STATES	2012-04-01 06:00:00	-0600	31.8075	-85.9722	0.0
018383	TUSCALOOSA ARPT ASOS	UNITED STATES	2012-04-01 06:00:00	-0600	33.2119	-87.6161	0.0
018385	TUSCALOOSA OLIVER DAM	UNITED STATES	2012-04-01 06:00:00	-0600	33.2097	-87.5936	0.0
018517	VERNON	UNITED STATES	2012-04-01 06:00:00	-0600	33.7392	-88.1275	0.0
018670	WARRIOR	UNITED STATES	2012-04-01 06:00:00	-0600	33.7924	-86.8258	0.0
018673	WARRIOR LOCK AND DAM	UNITED STATES	2012-04-01 06:00:00	-0600	32.7744	-87.8306	0.0
030064	ALICIA 2NNE	UNITED STATES	2012-04-01 06:00:00	-0600	35.9307	-91.055	0.0
030130	ALUM FORK	UNITED STATES	2012-04-01 06:00:00	-0600	34.7961	-92.8417	0.0
030178	ANTOINE 1 SW	UNITED STATES	2012-04-01 06:00:00	-0600	34.0275	-93.4332	0.0
030220	ARKADELPHIA 2 N	UNITED STATES	2012-04-01 06:00:00	-0600	34.1433	-93.0589	0.0
030326	AUGUSTA	UNITED STATES	2012-04-01 06:00:00	-0600	35.2894	-91.3533	0.0
030458	BATESVILLE LVSTK	UNITED STATES	2012-04-01 06:00:00	-0600	35.8306	-91.7944	0.0
030530	BEEBE	UNITED STATES	2012-04-01 06:00:00	-0600	35.0644	-91.8961	0.0
030616	BERRYVILLE 5 NW	UNITED STATES	2012-04-01 06:00:00	-0600	36.4294	-93.6255	0.0
030764	BLAKELY MOUNTAIN DAM	UNITED STATES	2012-04-01 06:00:00	-0600	34.5697	-93.1947	0.0
030798	BLUE MOUNTAIN DAM	UNITED STATES	2012-04-01 06:00:00	-0600	35.1161	-93.6506	0.0
030832	BOONEVILLE 3 SSE	UNITED STATES	2012-04-01 06:00:00	-0600	35.093	-93.9258	0.0
030842	BOTKINBURG 3 NE	UNITED STATES	2012-04-01 06:00:00	-0600	35.72639	-92.46722	0.0
